                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68257,                0.42744,                0.90338,                0.96408,                0.96094,                0.98578,                0.83563,                0.60035,                0.35361,                0.87895,              0.0096634,              0.0096634,              0.0096634
                     37,                0.68139,                0.43035,                0.90445,                0.97213,                0.96189,                0.98754,                0.83801,                0.59421,                0.34184,                0.87362,              0.0096535,              0.0096535,              0.0096535
                     38,                0.68026,                0.42546,                0.90167,                0.97073,                0.96753,                 0.9878,                0.84272,                0.59271,                0.33917,                0.87166,              0.0096436,              0.0096436,              0.0096436
                     39,                0.67687,                0.42323,                0.90259,                0.96685,                0.96913,                0.98874,                0.84165,                0.59194,                0.33607,                 0.8709,              0.0096337,              0.0096337,              0.0096337
                     40,                0.67501,                0.42113,                0.90344,                0.97237,                0.96573,                0.98792,                0.84176,                0.58669,                0.33946,                0.87063,              0.0096238,              0.0096238,              0.0096238
                     41,                0.67048,                0.41754,                0.90051,                0.97284,                0.96937,                0.98862,                0.84661,                0.58292,                0.33121,                0.86946,              0.0096139,              0.0096139,              0.0096139
                     42,                 0.6642,                0.41196,                0.89801,                0.97588,                0.96415,                0.98824,                0.84577,                 0.5807,                 0.3292,                0.87144,               0.009604,               0.009604,               0.009604
                     43,                0.66536,                0.41116,                0.89842,                0.97405,                0.96816,                0.98856,                0.84665,                0.58285,                0.32801,                0.86862,              0.0095941,              0.0095941,              0.0095941
                     44,                0.65672,                0.40543,                0.89464,                0.97596,                0.96806,                0.98891,                0.84913,                0.57734,                0.32269,                 0.8677,              0.0095842,              0.0095842,              0.0095842
                     45,                0.65634,                0.40703,                0.89336,                0.97241,                0.97463,                0.98985,                0.85008,                 0.5771,                0.32147,                0.86357,              0.0095743,              0.0095743,              0.0095743
                     46,                0.65547,                0.40426,                0.89389,                0.97728,                0.97068,                0.99001,                0.85309,                0.56971,                0.31755,                0.86482,              0.0095644,              0.0095644,              0.0095644
                     47,                0.65142,                0.40289,                0.89457,                 0.9737,                0.97113,                0.98839,                0.85248,                0.57577,                0.32128,                 0.8663,              0.0095545,              0.0095545,              0.0095545
                     48,                0.64861,                0.40128,                0.89132,                0.97552,                0.97131,                0.98909,                0.85225,                0.57193,                0.32009,                0.86523,              0.0095446,              0.0095446,              0.0095446
                     49,                0.64329,                0.40026,                0.89175,                0.97445,                0.97283,                0.98919,                0.85421,                0.56454,                0.31477,                0.86504,              0.0095347,              0.0095347,              0.0095347
                     50,                0.65215,                0.40059,                0.89327,                 0.9775,                0.97342,                0.98974,                0.85591,                0.56171,                0.31609,                0.86302,              0.0095248,              0.0095248,              0.0095248
                     51,                0.64166,                  0.392,                0.88915,                 0.9757,                0.97734,                0.99015,                 0.8566,                0.56233,                0.30947,                0.86203,              0.0095149,              0.0095149,              0.0095149
                     52,                0.64112,                0.39204,                0.88798,                0.97859,                0.97482,                0.99022,                 0.8606,                0.55543,                0.30628,                 0.8598,               0.009505,               0.009505,               0.009505
                     53,                0.63624,                 0.3919,                0.88837,                0.97607,                0.97537,                0.98982,                 0.8614,                0.55116,                0.30572,                0.85883,              0.0094951,              0.0094951,              0.0094951
                     54,                  0.637,                0.38971,                0.88849,                0.97816,                0.97568,                0.98985,                0.85818,                0.55309,                0.30662,                0.85813,              0.0094852,              0.0094852,              0.0094852
                     55,                 0.6334,                0.38511,                0.88618,                0.97507,                0.97671,                0.99009,                0.85871,                0.55721,                  0.309,                0.85962,              0.0094753,              0.0094753,              0.0094753
                     56,                0.62443,                 0.3847,                0.88566,                0.97613,                0.97651,                0.99041,                0.86391,                 0.5458,                0.30514,                0.85604,              0.0094654,              0.0094654,              0.0094654
                     57,                0.62554,                0.38553,                0.88615,                0.97934,                0.97679,                 0.9903,                0.86331,                0.54696,                0.30186,                0.85662,              0.0094555,              0.0094555,              0.0094555
                     58,                0.62405,                0.38344,                0.88376,                 0.9766,                0.97739,                0.99025,                0.86478,                0.54357,                0.30244,                 0.8588,              0.0094456,              0.0094456,              0.0094456
