                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.65578,                0.41637,                0.90351,                0.96627,                0.96534,                0.98565,                0.86135,                0.50885,                0.30787,                0.85608,              0.0098317,              0.0098317,              0.0098317
                     37,                0.64687,                0.41584,                0.90279,                0.96547,                0.96838,                0.98591,                0.86042,                 0.5077,                0.30578,                 0.8528,              0.0098268,              0.0098268,              0.0098268
                     38,                0.64901,                0.41047,                0.90417,                0.96646,                0.96667,                0.98585,                0.86245,                0.50466,                0.30263,                0.85271,              0.0098218,              0.0098218,              0.0098218
                     39,                0.64784,                0.40797,                0.90065,                0.96813,                 0.9652,                0.98624,                0.86397,                0.50134,                0.30307,                0.85155,              0.0098169,              0.0098169,              0.0098169
                     40,                0.64355,                0.40513,                0.90089,                0.96767,                 0.9735,                0.98728,                0.86792,                0.49405,                 0.2946,                0.84878,              0.0098119,              0.0098119,              0.0098119
                     41,                0.64111,                0.40359,                0.89914,                 0.9679,                0.96813,                0.98841,                0.87042,                0.49159,                0.29443,                0.84885,               0.009807,               0.009807,               0.009807
                     42,                0.63726,                0.39939,                0.89693,                 0.9654,                0.97443,                0.98902,                0.86959,                0.48676,                0.29347,                0.84788,               0.009802,               0.009802,               0.009802
                     43,                0.63419,                0.39865,                0.89793,                0.96615,                0.97314,                0.98774,                0.87137,                0.49017,                 0.2878,                0.84684,               0.009797,               0.009797,               0.009797
                     44,                0.63006,                0.39571,                 0.8967,                0.96962,                0.97353,                0.98774,                0.87172,                0.48673,                0.28931,                0.84491,              0.0097921,              0.0097921,              0.0097921
                     45,                0.63032,                0.39614,                 0.8976,                0.97168,                0.97597,                0.98896,                0.87479,                0.48329,                0.28161,                0.84402,              0.0097871,              0.0097871,              0.0097871
                     46,                0.62736,                 0.3926,                0.89445,                0.97373,                0.97407,                0.98856,                0.87514,                 0.4799,                0.28071,                0.84327,              0.0097822,              0.0097822,              0.0097822
                     47,                0.62973,                0.39233,                0.89527,                0.97191,                0.97423,                 0.9886,                0.87702,                0.47785,                0.28222,                0.84204,              0.0097773,              0.0097773,              0.0097773
                     48,                0.62545,                0.39476,                0.89552,                0.96888,                0.97655,                0.98976,                0.87775,                0.47674,                 0.2786,                 0.8426,              0.0097723,              0.0097723,              0.0097723
                     49,                0.62436,                0.38933,                0.89314,                0.97067,                0.97539,                 0.9897,                0.88004,                0.47349,                   0.28,                0.84148,              0.0097674,              0.0097674,              0.0097674
                     50,                0.62065,                0.38785,                0.89166,                0.97138,                0.97605,                0.98914,                0.87949,                0.47144,                0.27744,                0.84066,              0.0097624,              0.0097624,              0.0097624
                     51,                0.62002,                 0.3862,                0.89163,                0.96922,                 0.9792,                 0.9893,                0.88184,                0.46713,                0.27373,                0.83808,              0.0097575,              0.0097575,              0.0097575
                     52,                0.61782,                0.38305,                0.89103,                0.97308,                0.97748,                 0.9897,                0.88203,                0.46551,                 0.2701,                0.83664,              0.0097525,              0.0097525,              0.0097525
                     53,                0.61271,                0.38247,                0.88907,                0.97637,                0.97939,                0.98905,                0.88452,                0.46446,                0.26983,                0.83636,              0.0097476,              0.0097476,              0.0097476
                     54,                0.61562,                0.38235,                0.89014,                0.97159,                0.97994,                0.98958,                0.88451,                0.46103,                0.26862,                0.83563,              0.0097426,              0.0097426,              0.0097426
                     55,                0.60901,                0.37947,                0.88817,                0.97327,                0.97776,                0.98925,                0.88373,                0.45935,                0.26696,                0.83482,              0.0097377,              0.0097377,              0.0097377
                     56,                0.61378,                0.37981,                0.89038,                0.97234,                0.97967,                0.98975,                0.88539,                0.45908,                0.26772,                0.83591,              0.0097327,              0.0097327,              0.0097327
                     57,                0.61228,                0.37786,                0.88857,                0.97455,                 0.9778,                0.99007,                0.88726,                0.45665,                0.26729,                0.83282,              0.0097278,              0.0097278,              0.0097278
                     58,                0.60694,                0.37891,                0.88726,                0.97584,                0.97955,                0.99072,                   0.89,                0.45176,                0.26063,                0.83215,              0.0097228,              0.0097228,              0.0097228
                     59,                0.60775,                 0.3768,                0.88765,                0.97548,                0.97814,                0.98996,                0.88947,                0.44947,                0.26081,                0.83123,              0.0097179,              0.0097179,              0.0097179
                     60,                0.60287,                0.37096,                0.88475,                0.97583,                 0.9806,                0.98975,                 0.8901,                0.45312,                0.26166,                0.83144,              0.0097129,              0.0097129,              0.0097129
                     61,                0.60058,                0.36976,                0.88536,                0.97419,                0.98014,                0.98957,                0.89203,                0.44682,                0.25867,                0.83162,               0.009708,               0.009708,               0.009708
                     62,                0.60036,                0.37123,                0.88506,                0.97443,                0.98004,                0.99023,                0.89298,                0.44338,                0.25773,                0.83067,               0.009703,               0.009703,               0.009703
                     63,                0.60142,                0.37019,                 0.8841,                0.97374,                0.98398,                0.99044,                0.89358,                0.44443,                0.25715,                0.83114,               0.009698,               0.009698,               0.009698
                     64,                0.59467,                0.36868,                0.88363,                0.97468,                0.98002,                0.99046,                 0.8945,                0.44065,                0.25471,                0.82738,              0.0096931,              0.0096931,              0.0096931
                     65,                0.59649,                0.36898,                0.88316,                0.97389,                0.98306,                0.99092,                0.89543,                0.43817,                0.25375,                0.82626,              0.0096881,              0.0096881,              0.0096881
                     66,                 0.5929,                 0.3649,                0.88174,                0.97677,                0.98183,                0.99122,                0.89627,                0.43536,                0.25168,                0.82565,              0.0096832,              0.0096832,              0.0096832
                     67,                0.59259,                0.36541,                0.88148,                0.97876,                0.97972,                0.99085,                0.89755,                0.43449,                0.25071,                 0.8254,              0.0096783,              0.0096783,              0.0096783
                     68,                0.59362,                0.36478,                0.88138,                0.97554,                0.98246,                0.99117,                0.89706,                0.43399,                0.25086,                0.82514,              0.0096733,              0.0096733,              0.0096733
                     69,                0.59095,                0.36542,                0.88253,                0.97604,                 0.9816,                0.99065,                0.89672,                0.43486,                0.24961,                0.82806,              0.0096684,              0.0096684,              0.0096684
                     70,                0.58817,                0.36323,                0.88124,                0.97766,                0.98258,                0.99139,                0.89911,                0.43104,                0.24894,                0.82501,              0.0096634,              0.0096634,              0.0096634
                     71,                0.58932,                 0.3617,                0.88135,                0.97609,                0.98311,                0.99105,                0.89947,                0.43018,                 0.2481,                 0.8267,              0.0096585,              0.0096585,              0.0096585
                     72,                0.58581,                0.36031,                0.87943,                  0.974,                0.98661,                0.99147,                0.90039,                0.42686,                0.24582,                 0.8242,              0.0096535,              0.0096535,              0.0096535
                     73,                 0.5847,                0.35997,                0.87936,                0.97561,                0.98434,                0.99145,                0.90076,                0.42513,                0.24504,                0.82279,              0.0096486,              0.0096486,              0.0096486
                     74,                0.57967,                0.35792,                0.87832,                0.97731,                0.98406,                0.99123,                  0.901,                0.42539,                0.24521,                0.82365,              0.0096436,              0.0096436,              0.0096436
                     75,                0.58211,                0.35838,                0.87866,                0.97953,                0.98524,                0.99105,                0.90237,                0.42268,                0.24189,                0.82225,              0.0096387,              0.0096387,              0.0096387
                     76,                0.58168,                0.35733,                0.87813,                0.97682,                0.98517,                0.99121,                0.90292,                0.42128,                0.24177,                0.82301,              0.0096337,              0.0096337,              0.0096337
                     77,                 0.5799,                0.35837,                 0.8789,                 0.9764,                0.98408,                0.99144,                0.90284,                0.41921,                0.24234,                0.82257,              0.0096288,              0.0096288,              0.0096288
                     78,                0.57864,                 0.3537,                0.87636,                0.97691,                0.98427,                0.99125,                0.90397,                0.41628,                0.24024,                0.82093,              0.0096238,              0.0096238,              0.0096238
                     79,                 0.5769,                0.35487,                0.87638,                0.98201,                0.98037,                0.99177,                0.90619,                0.41608,                0.23801,                0.82037,              0.0096188,              0.0096188,              0.0096188
                     80,                 0.5773,                0.35323,                0.87556,                0.97648,                0.98727,                0.99156,                0.90665,                0.41361,                0.23742,                0.81963,              0.0096139,              0.0096139,              0.0096139
                     81,                0.57483,                0.35331,                0.87627,                0.98078,                0.98405,                0.99173,                0.90605,                0.41242,                0.23596,                0.81927,               0.009609,               0.009609,               0.009609
                     82,                0.57435,                0.35284,                0.87463,                0.98063,                0.98557,                0.99203,                0.90597,                0.41111,                0.23537,                0.81871,               0.009604,               0.009604,               0.009604
                     83,                0.57549,                0.35382,                0.87809,                0.98188,                0.98283,                0.99164,                0.90616,                0.41145,                0.23545,                0.81879,               0.009599,               0.009599,               0.009599
                     84,                0.56981,                 0.3503,                0.87461,                0.97953,                0.98457,                 0.9914,                0.90746,                0.41047,                0.23508,                0.81908,              0.0095941,              0.0095941,              0.0095941
                     85,                0.57171,                0.34984,                0.87581,                0.98081,                 0.9859,                0.99183,                 0.9085,                0.40859,                0.23168,                 0.8189,              0.0095892,              0.0095892,              0.0095892
                     86,                0.56924,                0.34987,                0.87491,                0.98158,                0.98346,                0.99183,                0.90841,                0.40779,                0.23293,                0.81839,              0.0095842,              0.0095842,              0.0095842
                     87,                0.57027,                0.35028,                0.87375,                 0.9764,                0.98701,                0.99191,                0.90919,                0.40631,                0.23179,                0.81762,              0.0095793,              0.0095793,              0.0095793
                     88,                0.57094,                0.34949,                 0.8753,                0.97614,                0.98861,                0.99189,                0.90948,                0.40543,                0.23128,                0.81702,              0.0095743,              0.0095743,              0.0095743
                     89,                0.56766,                 0.3486,                0.87615,                0.97952,                0.98732,                  0.992,                0.91019,                0.40312,                0.23105,                0.81613,              0.0095694,              0.0095694,              0.0095694
                     90,                0.56744,                0.34905,                0.87418,                0.97985,                 0.9861,                0.99208,                0.91029,                0.40145,                0.22948,                0.81555,              0.0095644,              0.0095644,              0.0095644
                     91,                0.56262,                0.34666,                0.87358,                0.97841,                0.98798,                0.99224,                 0.9109,                0.40098,                0.22912,                0.81564,              0.0095595,              0.0095595,              0.0095595
                     92,                0.56287,                  0.346,                0.87154,                0.98297,                 0.9847,                0.99221,                0.91186,                0.40041,                0.22756,                0.81463,              0.0095545,              0.0095545,              0.0095545
                     93,                0.56338,                 0.3463,                 0.8719,                0.98335,                0.98488,                0.99188,                0.91229,                0.39947,                0.22692,                0.81442,              0.0095496,              0.0095496,              0.0095496
                     94,                0.55968,                0.34428,                 0.8722,                 0.9829,                0.98523,                0.99211,                0.91178,                0.39828,                0.22521,                0.81427,              0.0095446,              0.0095446,              0.0095446
                     95,                0.56156,                0.34378,                0.87211,                0.98214,                0.98714,                0.99205,                0.91248,                0.39669,                0.22585,                0.81402,              0.0095397,              0.0095397,              0.0095397
                     96,                0.55818,                0.34275,                0.87071,                0.98061,                0.98864,                0.99227,                 0.9138,                0.39415,                0.22457,                0.81375,              0.0095347,              0.0095347,              0.0095347
                     97,                0.56026,                 0.3442,                0.87254,                0.98073,                 0.9897,                0.99226,                0.91439,                0.39335,                0.22305,                0.81353,              0.0095298,              0.0095298,              0.0095298
                     98,                0.56074,                0.34151,                 0.8717,                0.98232,                0.98759,                0.99228,                0.91369,                0.39351,                0.22331,                0.81332,              0.0095248,              0.0095248,              0.0095248
                     99,                0.55863,                0.34239,                0.87138,                0.98257,                 0.9872,                0.99204,                0.91402,                 0.3941,                0.22274,                0.81375,              0.0095198,              0.0095198,              0.0095198
                    100,                0.56095,                0.34344,                0.87176,                0.98352,                0.98683,                0.99229,                0.91481,                0.39358,                0.22253,                0.81426,              0.0095149,              0.0095149,              0.0095149
                    101,                0.55546,                0.34115,                0.87182,                 0.9843,                0.98864,                0.99236,                0.91467,                0.39142,                0.22117,                0.81289,                0.00951,                0.00951,                0.00951
                    102,                 0.5528,                0.33986,                0.87016,                0.98345,                0.98875,                0.99271,                0.91563,                0.39008,                0.21936,                0.81271,               0.009505,               0.009505,               0.009505
                    103,                0.55692,                0.34076,                0.87149,                0.98305,                0.98818,                0.99291,                0.91656,                0.38921,                0.21992,                0.81269,                 0.0095,                 0.0095,                 0.0095
                    104,                0.55631,                0.34172,                 0.8698,                0.98373,                0.98791,                0.99282,                0.91776,                0.38748,                0.21957,                0.81215,              0.0094951,              0.0094951,              0.0094951
                    105,                0.55305,                0.33948,                0.86987,                0.98313,                0.98771,                0.99298,                 0.9183,                0.38616,                0.21928,                0.81192,              0.0094902,              0.0094902,              0.0094902
                    106,                 0.5539,                0.33927,                0.87071,                0.98247,                0.98858,                0.99294,                0.91869,                0.38432,                0.21841,                0.81127,              0.0094852,              0.0094852,              0.0094852
                    107,                0.55172,                0.33951,                0.86996,                0.98507,                0.98738,                0.99306,                 0.9191,                0.38205,                0.21701,                0.81045,              0.0094803,              0.0094803,              0.0094803
                    108,                0.55019,                0.33799,                0.86802,                0.98508,                0.98739,                0.99306,                0.91901,                0.38106,                0.21651,                 0.8103,              0.0094753,              0.0094753,              0.0094753
                    109,                 0.5485,                0.33554,                0.86662,                0.98488,                  0.987,                0.99299,                0.91917,                0.37938,                0.21557,                0.81004,              0.0094704,              0.0094704,              0.0094704
                    110,                0.54866,                0.33665,                0.86823,                0.98534,                0.98709,                0.99293,                0.91935,                0.37907,                0.21473,                 0.8098,              0.0094654,              0.0094654,              0.0094654
                    111,                0.54977,                0.33671,                0.86847,                0.98338,                0.98915,                0.99285,                0.91973,                0.37801,                0.21455,                0.80926,              0.0094605,              0.0094605,              0.0094605
                    112,                0.54885,                0.33644,                0.86879,                0.98526,                0.98594,                0.99288,                0.91991,                0.37755,                0.21454,                 0.8089,              0.0094555,              0.0094555,              0.0094555
                    113,                0.54839,                0.33478,                0.86858,                0.98556,                0.98681,                0.99294,                0.92059,                0.37602,                 0.2138,                0.80848,              0.0094506,              0.0094506,              0.0094506
                    114,                0.54743,                 0.3346,                0.86641,                0.98611,                0.98655,                0.99292,                0.92121,                0.37439,                0.21296,                0.80817,              0.0094456,              0.0094456,              0.0094456
                    115,                0.54579,                 0.3332,                0.86521,                0.98588,                0.98717,                0.99294,                0.92217,                0.37301,                0.21264,                0.80771,              0.0094407,              0.0094407,              0.0094407
                    116,                0.54292,                0.33309,                0.86696,                0.98555,                0.98828,                0.99299,                0.92213,                0.37185,                0.21224,                0.80749,              0.0094357,              0.0094357,              0.0094357
                    117,                0.54673,                0.33478,                0.86699,                0.98639,                0.98753,                0.99301,                0.92232,                 0.3711,                0.21213,                0.80739,              0.0094307,              0.0094307,              0.0094307
                    118,                0.54333,                0.33326,                0.86628,                0.98641,                 0.9881,                  0.993,                0.92309,                0.37055,                0.21083,                0.80722,              0.0094258,              0.0094258,              0.0094258
                    119,                0.54578,                0.33345,                0.86796,                0.98623,                0.98855,                0.99307,                0.92307,                0.36926,                0.21059,                0.80693,              0.0094208,              0.0094208,              0.0094208
                    120,                0.54441,                 0.3332,                0.86741,                 0.9864,                0.98824,                0.99303,                0.92291,                0.36894,                 0.2102,                0.80693,              0.0094159,              0.0094159,              0.0094159
                    121,                0.54029,                0.33182,                0.86467,                0.98591,                0.98823,                  0.993,                0.92349,                0.36818,                0.21006,                0.80654,              0.0094109,              0.0094109,              0.0094109
                    122,                0.53929,                0.33049,                0.86569,                0.98591,                0.98806,                0.99323,                0.92459,                 0.3677,                0.20951,                0.80653,               0.009406,               0.009406,               0.009406
                    123,                0.53863,                0.33014,                0.86499,                0.98629,                0.98671,                0.99293,                0.92398,                0.36747,                0.20901,                0.80638,               0.009401,               0.009401,               0.009401
                    124,                0.54111,                0.33142,                0.86601,                0.98626,                0.98712,                0.99294,                 0.9244,                0.36683,                0.20876,                0.80622,              0.0093961,              0.0093961,              0.0093961
                    125,                0.53809,                 0.3298,                0.86547,                0.98565,                0.98742,                0.99287,                0.92469,                0.36674,                0.20868,                0.80636,              0.0093912,              0.0093912,              0.0093912
                    126,                0.54109,                0.33074,                0.86563,                0.98495,                0.98831,                 0.9929,                0.92528,                0.36587,                0.20768,                0.80616,              0.0093862,              0.0093862,              0.0093862
                    127,                0.53755,                0.33055,                0.86392,                 0.9858,                0.98773,                0.99288,                0.92533,                0.36529,                0.20795,                0.80602,              0.0093813,              0.0093813,              0.0093813
                    128,                0.53844,                0.33019,                0.86495,                0.98543,                0.98769,                 0.9929,                0.92541,                0.36508,                0.20767,                0.80588,              0.0093763,              0.0093763,              0.0093763
                    129,                0.53546,                0.32923,                0.86515,                0.98461,                0.98817,                0.99293,                0.92567,                 0.3646,                0.20728,                0.80571,              0.0093714,              0.0093714,              0.0093714
                    130,                0.53492,                0.32769,                0.86387,                0.98483,                0.98847,                0.99294,                 0.9258,                0.36399,                0.20722,                0.80547,              0.0093664,              0.0093664,              0.0093664
                    131,                0.53463,                0.32809,                0.86428,                0.98588,                0.98812,                0.99292,                0.92559,                0.36328,                0.20689,                0.80525,              0.0093615,              0.0093615,              0.0093615
                    132,                0.53561,                  0.328,                0.86481,                0.98491,                0.98891,                0.99291,                0.92614,                 0.3628,                 0.2068,                0.80516,              0.0093565,              0.0093565,              0.0093565
                    133,                0.53083,                0.32548,                0.86251,                0.98427,                0.98913,                0.99297,                0.92608,                0.36225,                0.20655,                0.80495,              0.0093516,              0.0093516,              0.0093516
