                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60822,                 0.3667,                0.90968,                 0.9703,                0.97036,                0.98607,                0.87122,                0.46589,                  0.271,                0.85993,              0.0098878,              0.0098878,              0.0098878
                     37,                 0.5983,                0.36083,                0.90622,                0.96942,                0.96571,                0.98585,                0.87112,                 0.4665,                0.27087,                0.86143,              0.0098845,              0.0098845,              0.0098845
                     38,                0.59844,                0.36241,                0.90847,                 0.9688,                0.97271,                0.98679,                0.87494,                0.46473,                0.26473,                0.86194,              0.0098812,              0.0098812,              0.0098812
                     39,                0.59279,                 0.3571,                0.90369,                0.97069,                0.97012,                0.98735,                0.87493,                0.46163,                0.26102,                 0.8621,              0.0098779,              0.0098779,              0.0098779
                     40,                0.58781,                 0.3538,                0.90203,                0.97086,                0.97257,                0.98743,                0.87961,                0.45738,                0.26029,                0.85841,              0.0098746,              0.0098746,              0.0098746
                     41,                0.58956,                0.35343,                0.90283,                0.97217,                 0.9727,                 0.9874,                0.87846,                0.45591,                0.25815,                0.85947,              0.0098713,              0.0098713,              0.0098713
                     42,                0.58678,                0.34894,                0.90152,                0.97071,                0.97414,                0.98838,                 0.8789,                0.45485,                0.25594,                 0.8563,               0.009868,               0.009868,               0.009868
                     43,                0.58637,                0.34817,                0.90177,                0.97175,                0.97558,                0.98753,                0.87998,                0.45177,                0.25204,                0.85602,              0.0098647,              0.0098647,              0.0098647
                     44,                0.58042,                0.34625,                0.89875,                0.97211,                0.97453,                0.98809,                0.88355,                0.44695,                0.25477,                0.85576,              0.0098614,              0.0098614,              0.0098614
                     45,                0.58023,                0.34514,                0.89976,                0.97246,                0.97702,                0.98852,                 0.8845,                0.44493,                0.25072,                0.85482,              0.0098581,              0.0098581,              0.0098581
                     46,                0.57664,                 0.3438,                0.89658,                0.97537,                0.97357,                0.98862,                0.88505,                0.44292,                0.24887,                 0.8517,              0.0098548,              0.0098548,              0.0098548
                     47,                0.57333,                0.34043,                0.89532,                0.97507,                0.97456,                0.98842,                0.88582,                0.44154,                0.24664,                 0.8513,              0.0098515,              0.0098515,              0.0098515
